metric,chapter,n,chi2,df,p,w,w_label,sig_05,degenerate
ROUGE-L,ch4,26,9.0,2,0.011108996538242308,0.17307692307692307,moderate,True,False
ROUGE-L,ch5,26,13.461538461538453,2,0.0011936144399564352,0.2588757396449704,moderate,True,False
ROUGE-L,ch6,26,10.230769230769226,2,0.006003668287120835,0.19674556213017752,moderate,True,False
METEOR,ch1,26,4.384615384615415,2,0.1116587769715168,0.08431952662721894,weak,False,False
METEOR,ch2,26,1.2391304347826335,2,0.5381783773333583,0.021079881656804734,weak,False,False
METEOR,ch3,26,1.9230769230769624,2,0.38230427289207314,0.03698224852071006,weak,False,False
METEOR,ch4,26,9.769230769230774,2,0.007562031676513087,0.1878698224852071,moderate,True,False
METEOR,ch5,26,16.692307692307736,2,0.0002373074865459834,0.3210059171597633,strong,True,False
METEOR,ch6,26,6.461538461538453,2,0.03952708164357875,0.1242603550295858,moderate,True,False
BERTScore_Precision,ch1,26,2.153846153846189,2,0.3406420441574351,0.04142011834319527,weak,False,False
BERTScore_Precision,ch2,26,1.4615384615384528,2,0.4815384334071312,0.028106508875739646,weak,False,False
BERTScore_Precision,ch3,26,15.461538461538453,2,0.00043910621314533757,0.2973372781065089,moderate,True,False
BERTScore_Precision,ch4,26,12.0,2,0.002478752176666357,0.23076923076923078,moderate,True,False
BERTScore_Precision,ch5,26,9.538461538461547,2,0.008486906038938705,0.1834319526627219,moderate,True,False
BERTScore_Precision,ch6,26,9.30769230769232,2,0.009524897169828668,0.17899408284023668,moderate,True,False
BERTScore_Recall,ch1,26,4.923076923076962,2,0.08530361363583731,0.09467455621301775,weak,False,False
BERTScore_Recall,ch2,26,1.9230769230769624,2,0.38230427289207314,0.03698224852071006,weak,False,False
BERTScore_Recall,ch3,26,2.153846153846189,2,0.3406420441574351,0.04142011834319527,weak,False,False
BERTScore_Recall,ch4,26,1.4615384615384528,2,0.4815384334071312,0.028106508875739646,weak,False,False
BERTScore_Recall,ch5,26,18.769230769230774,2,8.400658371646253e-05,0.3609467455621302,strong,True,False
BERTScore_Recall,ch6,26,5.615384615384642,2,0.060344087422738564,0.10798816568047337,moderate,False,False
BERTScore_F1,ch1,26,6.230769230769226,2,0.044361441772906754,0.11982248520710059,moderate,True,False
BERTScore_F1,ch2,26,0.07692307692309441,2,0.9622687143632488,0.0014792899408284023,weak,False,False
BERTScore_F1,ch3,26,19.384615384615415,2,6.175672433276877e-05,0.3727810650887574,strong,True,False
BERTScore_F1,ch4,26,5.846153846153868,2,0.05376799253902047,0.11242603550295859,moderate,False,False
BERTScore_F1,ch5,26,12.076923076923094,2,0.0023852256702658423,0.23224852071005916,moderate,True,False
BERTScore_F1,ch6,26,5.769230769230774,2,0.05587627627964582,0.11094674556213018,moderate,False,False
SBERT_ModernBERT,ch1,26,4.0,2,0.1353352832366127,0.07692307692307693,weak,False,False
SBERT_ModernBERT,ch2,26,7.153846153846189,2,0.027961601725905144,0.13757396449704143,moderate,True,False
SBERT_ModernBERT,ch3,26,14.076923076923094,2,0.0008774754866451763,0.27071005917159763,moderate,True,False
SBERT_ModernBERT,ch4,26,1.9230769230769624,2,0.38230427289207314,0.03698224852071006,weak,False,False
SBERT_ModernBERT,ch5,26,6.230769230769226,2,0.044361441772906754,0.11982248520710059,moderate,True,False
SBERT_ModernBERT,ch6,26,7.0,2,0.0301973834223185,0.1346153846153846,moderate,True,False
SBERT_MiniLM,ch1,26,3.7692307692307736,2,0.1518874664529184,0.07248520710059171,weak,False,False
SBERT_MiniLM,ch2,26,2.846153846153868,2,0.24097142449614672,0.05473372781065089,weak,False,False
SBERT_MiniLM,ch3,26,5.615384615384642,2,0.060344087422738564,0.10798816568047337,moderate,False,False
SBERT_MiniLM,ch4,26,23.15384615384619,2,9.38007239533555e-06,0.4452662721893491,strong,True,False
SBERT_MiniLM,ch5,26,9.30769230769232,2,0.009524897169828668,0.17899408284023668,moderate,True,False
SBERT_MiniLM,ch6,26,1.4615384615384528,2,0.4815384334071312,0.028106508875739646,weak,False,False
