metric,chapter,pair,n_a,n_b,U,p,r,r_label,direction,median_a,median_b,bonf_sig,degenerate
BLEU,ch5,Form vs Ask,37,37,1027.0,2.6766922116955226e-05,0.5003652300949599,large,Form > Ask,0.0314902985136302,0.0,True,False
BLEU,ch5,Form vs Chat,37,39,663.0,0.5363107658569388,-0.08108108108108103,negligible,Chat > Form,0.0314902985136302,0.0441439094399845,False,False
BLEU,ch5,Ask vs Chat,37,39,398.0,8.734874366064097e-05,-0.4483714483714484,medium,Chat > Ask,0.0,0.0441439094399845,True,False
BLEU,ch6,Form vs Ask,37,37,803.0,0.2008452913186608,0.17311906501095686,small,Form > Ask,0.0506885875372092,0.0476925144188826,False,False
BLEU,ch6,Form vs Chat,37,39,514.0,0.031451651572430774,-0.28759528759528763,small,Chat > Form,0.0506885875372092,0.0854202117458568,False,False
BLEU,ch6,Ask vs Chat,37,39,496.0,0.018995238966596738,-0.3125433125433126,medium,Chat > Ask,0.0476925144188826,0.0854202117458568,False,False
ROUGE-1,ch1,Form vs Ask,37,37,431.0,0.006231631121492452,-0.3703433162892622,medium,Ask > Form,0.5306122448979592,0.6034482758620688,True,False
ROUGE-1,ch1,Form vs Chat,37,39,629.5,0.34161078392268673,-0.12751212751212748,small,Chat > Form,0.5306122448979592,0.5573770491803278,False,False
ROUGE-1,ch1,Ask vs Chat,37,39,962.5,0.012436717828334016,0.3340263340263341,medium,Ask > Chat,0.6034482758620688,0.5573770491803278,True,False
ROUGE-1,ch2,Form vs Ask,37,37,986.0,0.0011373203391907415,0.44046749452154854,medium,Form > Ask,0.4491525423728813,0.3857142857142857,True,False
ROUGE-1,ch2,Form vs Chat,37,39,860.5,0.15004450314981832,0.1926541926541927,small,Form > Chat,0.4491525423728813,0.410958904109589,False,False
ROUGE-1,ch2,Ask vs Chat,37,39,587.0,0.16373559683290329,-0.1864171864171864,small,Chat > Ask,0.3857142857142857,0.410958904109589,False,False
ROUGE-1,ch3,Form vs Ask,37,37,1336.5,1.87534807199474e-12,0.9525200876552229,large,Form > Ask,0.6037735849056604,0.3905723905723905,True,False
ROUGE-1,ch3,Form vs Chat,37,39,1114.5,4.521170613457048e-05,0.5446985446985446,large,Form > Chat,0.6037735849056604,0.446927374301676,True,False
ROUGE-1,ch3,Ask vs Chat,37,39,540.5,0.06067229871767278,-0.2508662508662509,small,Chat > Ask,0.3905723905723905,0.446927374301676,False,False
ROUGE-1,ch4,Form vs Ask,37,37,972.0,0.0019171752059699114,0.4200146092037984,medium,Form > Ask,0.492063492063492,0.3863636363636363,True,False
ROUGE-1,ch4,Form vs Chat,37,39,951.0,0.017318674565720674,0.31808731808731805,medium,Form > Chat,0.492063492063492,0.4409448818897638,False,False
ROUGE-1,ch4,Ask vs Chat,37,39,604.0,0.22400391462835956,-0.16285516285516288,small,Chat > Ask,0.3863636363636363,0.4409448818897638,False,False
ROUGE-1,ch5,Form vs Ask,37,37,931.0,0.007823869945396645,0.36011687363038725,medium,Form > Ask,0.2479338842975206,0.1833333333333333,True,False
ROUGE-1,ch5,Form vs Chat,37,39,535.5,0.05387510526270606,-0.2577962577962578,small,Chat > Form,0.2479338842975206,0.3174603174603174,False,False
ROUGE-1,ch5,Ask vs Chat,37,39,376.5,0.0003429780628991138,-0.4781704781704782,medium,Chat > Ask,0.1833333333333333,0.3174603174603174,True,False
ROUGE-1,ch6,Form vs Ask,37,37,624.0,0.516559292550911,-0.0883856829802776,negligible,Ask > Form,0.2531645569620253,0.2831050228310502,False,False
ROUGE-1,ch6,Form vs Chat,37,39,516.5,0.033562796447574324,-0.2841302841302842,small,Chat > Form,0.2531645569620253,0.3363914373088685,False,False
ROUGE-1,ch6,Ask vs Chat,37,39,607.0,0.2361172406501102,-0.15869715869715872,small,Chat > Ask,0.2831050228310502,0.3363914373088685,False,False
ROUGE-2,ch1,Form vs Ask,37,37,483.5,0.030187936724514752,-0.293644996347699,small,Ask > Form,0.3458646616541353,0.4333333333333333,False,False
ROUGE-2,ch1,Form vs Chat,37,39,691.5,0.759161915030182,-0.04158004158004158,negligible,Chat > Form,0.3458646616541353,0.3658536585365854,False,False
ROUGE-2,ch1,Ask vs Chat,37,39,934.0,0.027577483134596025,0.2945252945252945,small,Ask > Chat,0.4333333333333333,0.3658536585365854,False,False
ROUGE-2,ch2,Form vs Ask,37,37,1164.0,2.23730943077383e-07,0.7005113221329438,large,Form > Ask,0.3033707865168539,0.2164948453608247,True,False
ROUGE-2,ch2,Form vs Chat,37,39,962.0,0.012623941443832578,0.33333333333333326,medium,Form > Chat,0.3033707865168539,0.2738095238095238,True,False
ROUGE-2,ch2,Ask vs Chat,37,39,582.0,0.14858131328789995,-0.1933471933471933,small,Chat > Ask,0.2164948453608247,0.2738095238095238,False,False
ROUGE-2,ch3,Form vs Ask,37,37,1321.0,6.165266388884253e-12,0.9298758217677137,large,Form > Ask,0.4153005464480874,0.2018348623853211,True,False
ROUGE-2,ch3,Form vs Chat,37,39,1134.0,1.8545463241724764e-05,0.5717255717255718,large,Form > Chat,0.4153005464480874,0.2297297297297297,True,False
ROUGE-2,ch3,Ask vs Chat,37,39,516.5,0.033562796447574324,-0.2841302841302842,small,Chat > Ask,0.2018348623853211,0.2297297297297297,False,False
ROUGE-2,ch4,Form vs Ask,37,37,1010.0,0.00044204871691491416,0.4755295836376918,medium,Form > Ask,0.2978723404255319,0.174863387978142,True,False
