id,user_id,ai_mode,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,SBERT_ModernBERT
81,AEB2451,ask,0.06604939235161365,0.3844634628044766,0.1911667765326302,0.2685977616853193,0.3378656268801024,0.8703051805496216,0.916180431842804,0.8926537897869526,0.983107328414917
86,CTL2527,ask,0.07168740056012432,0.36894409937888195,0.19402985074626866,0.2645962732919255,0.3565295362304104,0.8686650991439819,0.918701171875,0.8929827730222554,0.9832054972648621
90,VAG2434,ask,0.12448441971691576,0.4749733759318424,0.2390608324439701,0.32587859424920124,0.3418870447519501,0.8884782195091248,0.9009953141212463,0.8946929892307216,0.9905556440353394
92,UOR0445,ask,0.13248512220109027,0.50418410041841,0.2683438155136268,0.3619246861924686,0.37650160463571836,0.8994123935699463,0.9075252413749695,0.9034506048074952,0.9883180856704712
95,ARN2026,ask,0.14787840885825682,0.5602409638554217,0.32595573440643866,0.43373493975903615,0.409235693329437,0.8942576050758362,0.921711802482605,0.9077771746897677,0.9906412363052368
97,EHJ2314,ask,0.10325597475771521,0.43922883487007547,0.23005877413937867,0.29505448449287514,0.3658222404925525,0.8774139881134033,0.9074488282203674,0.8921787020171478,0.9879955649375916
103,NAB0152,ask,0.1511585617142088,0.42045454545454547,0.20227920227920232,0.30113636363636365,0.26993200026267405,0.8912429213523865,0.8738079071044922,0.882439303472612,0.9867638945579529
108,AMR2620,ask,0.1417856380479433,0.5047701647875108,0.2901824500434405,0.3764093668690373,0.42940357222805303,0.9028387069702148,0.9253031015396118,0.9139328818594349,0.9923065900802612
109,UAB0821,ask,0.09373018722052552,0.44862745098039214,0.24666142969363708,0.33098039215686276,0.3899558482633977,0.8698813319206238,0.9135438203811646,0.8911780953805332,0.9815801978111267
114,DLZ2800,ask,0.05745280772872458,0.32194046306504964,0.16445916114790288,0.2227122381477398,0.3158754286167678,0.8691068887710571,0.9185255765914917,0.8931331485593382,0.9843129515647888
116,UTP0442,ask,0.10745814141145696,0.47884788478847884,0.2344454463480613,0.33123312331233123,0.36779776194170666,0.8901965022087097,0.9138981103897095,0.9018916142899206,0.9904918670654297
118,LOT2142,ask,0.13049141020705335,0.4318181818181819,0.19943019943019943,0.3181818181818182,0.2726893323817142,0.8995922207832336,0.883549690246582,0.8914987899782146,0.9873731136322021
4,EHN0215,chat,0.21412425644982278,0.6446104589114194,0.4470588235294118,0.544290288153682,0.5012207012057317,0.911118745803833,0.9328657388687134,0.9218640059787292,0.9918762445449829
8,RIT1851,chat,0.12320571390192156,0.4693333333333333,0.26179875333926983,0.3537777777777777,0.40658116898835356,0.8945262432098389,0.9141443371772766,0.904228894475319,0.9916268587112427
11,IAR1116,chat,0.13784746072779377,0.4758128469468676,0.29229547259729943,0.38065027755749403,0.4129510615532453,0.8980057835578918,0.9211720824241638,0.9094414275125375,0.9901384115219116
12,TIL1618,chat,0.15659103766306368,0.5834970530451865,0.3799212598425197,0.4774066797642436,0.4562567425660968,0.905925452709198,0.925686776638031,0.9156995118902406,0.9912402629852295
17,NOC2416,chat,0.18231923927246355,0.5616580310880829,0.3592938733125649,0.44766839378238343,0.4570797860239129,0.8983592391014099,0.9196488261222839,0.9088793779075611,0.9909542798995972
18,NUG0102,chat,0.1426328428596617,0.5212121212121211,0.3278404163052906,0.4086580086580086,0.4378349762041561,0.8937080502510071,0.9221571087837219,0.9077097246078546,0.9885960221290588
20,IHL0436,chat,0.11766375811097098,0.45627980922098565,0.2611464968152867,0.3465818759936407,0.40941294089973135,0.8891960382461548,0.9154193997383118,0.9021171895659982,0.9886905550956726
26,AAL1220,chat,0.15972771296725272,0.587251828631139,0.37486910994764394,0.46394984326018807,0.4789809173153505,0.9024922251701355,0.9241008758544922,0.9131687350223351,0.9900208711624146
28,thg1620,chat,0.08721325521436682,0.3860801050558109,0.1946088099934254,0.2810242941562705,0.3597402046134957,0.8776760101318359,0.9157768487930298,0.8963217146411142,0.9857437610626221
35,IOL1223,chat,0.2351288778015954,0.5718270571827057,0.36923076923076925,0.4518828451882845,0.38525041729241216,0.9191834926605225,0.9041357636451721,0.911597534214077,0.9913451075553894
36,IOL1223,chat,0.23186005430607,0.5730180806675939,0.35704323570432356,0.4534075104311544,0.3885411767717662,0.9218644499778748,0.9024097323417664,0.912033355098112,0.9905875325202942
37,NAN277,chat,0.11992517420688133,0.5070688030160225,0.27950897072710107,0.3694627709707823,0.39572843326885876,0.8970427513122559,0.9224230647087097,0.9095558889364144,0.9936425685882568
40,AHR0531,chat,0.113749638470048,0.45797598627787306,0.24054982817869414,0.3379073756432247,0.36363174511779567,0.8824560642242432,0.909726083278656,0.8958836021112861,0.9880234599113464
42,EII0925,chat,0.19530452934963533,0.6119096509240246,0.3950617283950617,0.5010266940451745,0.49168223710782955,0.9025058746337891,0.9224457144737244,0.9123668609208825,0.9906702041625977
47,MIN0453,chat,0.1448828783485898,0.5695488721804511,0.3502824858757062,0.4530075187969924,0.44140992911396176,0.9026873707771301,0.9266034960746765,0.9144890938684244,0.9917512536048889
52,ENB1054,chat,0.0908632991220471,0.41265474552957365,0.2382920110192837,0.3108665749656121,0.3774776646044255,0.8844047784805298,0.9204824566841125,0.9020830413537341,0.9878280162811279
55,OAZ2611,chat,0.16191207348384243,0.4905660377358491,0.2580645161290323,0.36403995560488345,0.39527300594898734,0.9010074734687805,0.911877453327179,0.9064098754326942,0.9923344254493713
63,PVV2109,chat,0.09058061916606636,0.3693467336683417,0.13098236775818642,0.23115577889447236,0.23523007604200213,0.8670040965080261,0.8768296241760254,0.8718891796655915,0.9854303598403931
64,NIL1922,chat,0.18742009495328446,0.4806973848069738,0.2721598002496879,0.3661270236612703,0.2968465561969096,0.8932722210884094,0.891044020652771,0.8921567296157595,0.9868553876876831
68,aea2442,chat,0.15931437176788488,0.5551839464882943,0.31731843575418994,0.4370122630992196,0.38320257475601316,0.9033522009849548,0.9142372608184814,0.908762137037683,0.9903372526168823
72,IHB53,chat,0.11823866181676287,0.4930313588850174,0.2705061082024433,0.38675958188153314,0.3863988270575486,0.8900628089904785,0.9162742495536804,0.9029783544613628,0.9892122149467468
73,DAB1519,chat,0.10006014625598243,0.4670781893004115,0.22268041237113403,0.33744855967078186,0.34396612476812294,0.8821567296981812,0.9050273895263672,0.8934457212816708,0.9858951568603516
77,ANN1112,chat,0.09863726613738932,0.47610773240660303,0.2541340295909486,0.34926151172893133,0.3845220032317547,0.8933980464935303,0.9219467043876648,0.9074478930476083,0.9911138415336609
82,AEB2451,chat,0.14167810591806912,0.56,0.33822091886608013,0.44097560975609756,0.429262229730345,0.9013509154319763,0.9216587543487549,0.9113917229501751,0.9916064739227295
83,LHL1942,chat,0.12786941458802698,0.46199999999999997,0.23246492985971945,0.326,0.370652639901138,0.8833231925964355,0.904904842376709,0.8939837858835191,0.9866369962692261
84,aal1412,chat,0.06679523753981974,0.3303261623872311,0.15010423905489925,0.23039555863983346,0.31877459734381686,0.8676096200942993,0.9054413437843323,0.8861218727519554,0.9879449605941772
87,CTL2527,chat,0.12551587080645016,0.5443902439024391,0.2952101661779081,0.4078048780487805,0.38794983297492475,0.8866981863975525,0.9224292635917664,0.904210872607873,0.9870646595954895
89,VAG2434,chat,0.12888667419295746,0.5130687318489835,0.2832201745877788,0.3872216844143272,0.38598327863896015,0.8998445868492126,0.917787492275238,0.9087274771246383,0.9922019839286804
94,UOR0445,chat,0.20292156373291637,0.6124401913875598,0.39088729016786566,0.5143540669856458,0.43529254546309143,0.9110140800476074,0.9179481267929077,0.9144679590796894,0.9902758002281189
98,ARN2026,chat,0.13671937121159436,0.5203252032520326,0.26272912423625255,0.3495934959349593,0.38353496730862363,0.8965510129928589,0.9149249792098999,0.9056448116937477,0.9909144043922424
100,EHJ2314,chat,0.12589864900067477,0.4447717231222386,0.2274741506646972,0.31516936671575846,0.27649366297410044,0.8958126306533813,0.8737042546272278,0.884620331414981,0.9850102663040161
101,ALB0226,chat,0.1653745312434339,0.43650793650793657,0.23607427055702918,0.32275132275132273,0.27004592389063287,0.8953163027763367,0.884464681148529,0.8898574098885663,0.9872875213623047
102,NAB0152,chat,0.17652330765623223,0.6248574686431015,0.3977142857142857,0.5039908779931586,0.44165495774888025,0.9111682772636414,0.9237219095230103,0.9174021497654078,0.9901528358459473
105,AMR2620,chat,0.12444444773088635,0.5284780578898226,0.28624883068288115,0.39589169000933705,0.3954166207396537,0.8915287256240845,0.9167728424072266,0.9039745784967789,0.9882417321205139
106,AMR2620,chat,0.12444444773088635,0.5284780578898226,0.28624883068288115,0.39589169000933705,0.3954166207396537,0.8913028836250305,0.9166560769081116,0.9038017150562756,0.9882380962371826
107,AMR2620,chat,0.13337246520690454,0.5338276181649676,0.30083565459610023,0.40037071362372567,0.41063351733752623,0.8956478834152222,0.9183712601661682,0.9068672491882044,0.9904041886329651
111,UAB0821,chat,0.12846689942042436,0.5173116089613036,0.2510204081632653,0.3564154786150712,0.39697359371357177,0.8971049189567566,0.9155479073524475,0.906232588287527,0.9924622774124146
113,DLZ2800,chat,0.1341368231652269,0.551307847082495,0.3004032258064517,0.4104627766599597,0.38238560337471933,0.8967477083206177,0.919924259185791,0.9081881440442162,0.9894397854804993
117,UTP0442,chat,0.16432784783928778,0.48192771084337344,0.2657004830917874,0.36867469879518067,0.348410198110547,0.8899815082550049,0.89659583568573,0.8932764280763348,0.9883702993392944
3,EHN0215,form,0.17272579981569552,0.6059405940594059,0.41269841269841273,0.504950495049505,0.5141786646727841,0.90486079454422,0.9314402937889099,0.9179581819813583,0.9909888505935669
6,RIT1851,form,0.09808771340198402,0.43047337278106507,0.24740740740740744,0.3372781065088757,0.36403959583274553,0.8907293677330017,0.9202752113342285,0.9052612749927911,0.9895628690719604
10,IAR1116,form,0.14464752070856224,0.5055131467345207,0.3313508920985556,0.4088210347752333,0.43086740886918473,0.8908394575119019,0.9235237240791321,0.9068872006502923,0.9850178956985474
14,TIL1618,form,0.0849552896029193,0.40105540897097625,0.24174372523117568,0.3060686015831135,0.3668045680018028,0.880060613155365,0.918478786945343,0.8988593792986167,0.9839012026786804
15,NOC2416,form,0.15730904219531264,0.5458377239199157,0.33157338965153116,0.43624868282402524,0.4311002671205977,0.8934498429298401,0.9200514554977417,0.9065555443655544,0.9891051054000854
21,NUG0102,form,0.18899975404603087,0.5971143174250834,0.371523915461624,0.4839067702552719,0.44209713750675056,0.908037543296814,0.9289316534996033,0.918365771190347,0.992119312286377
22,IHL0436,form,0.17853403570641563,0.5639476334340383,0.3693239152371342,0.47532729103726085,0.4599072493711822,0.8990167379379272,0.9152570366859436,0.9070642005688667,0.9889681339263916
24,NNL2811,form,0.21975450984139822,0.6441048034934497,0.4310722100656455,0.5327510917030568,0.4869993474471995,0.9089182615280151,0.9298344254493713,0.9192573808037483,0.9885240793228149
25,AAL1220,form,0.12404380833969031,0.466893039049236,0.282312925170068,0.3548387096774194,0.3984938565719775,0.887401819229126,0.9207360744476318,0.9037616769739348,0.986749529838562
31,IOL1223,form,0.14361759498041604,0.5686080947680158,0.3323442136498516,0.43632773938795655,0.44163839022689283,0.8925074934959412,0.9233599305152893,0.9076716133365588,0.9896846413612366
34,thg1620,form,0.12358807552853607,0.4847537138389367,0.3148003132341425,0.38154808444096955,0.41869652980767097,0.8846232891082764,0.9238570928573608,0.9038146150761149,0.9833655953407288
41,AHR0531,form,0.19201844391956643,0.6302521008403362,0.4105263157894737,0.5084033613445379,0.509288540708621,0.912449300289154,0.9246547818183899,0.9185114952347269,0.9901264905929565
44,EII0925,form,0.1329988744330528,0.4717241379310345,0.3328729281767956,0.39724137931034476,0.4436402120980482,0.8896677494049072,0.9354631304740906,0.9119909011624742,0.9879526495933533
46,MIN0453,form,0.15826295187413314,0.5748987854251012,0.36105476673427994,0.4676113360323887,0.43443121565180837,0.899086058139801,0.9224706888198853,0.9106282708401761,0.9896240234375
48,ENB1054,form,0.08789615596780279,0.3834066624764299,0.22529893014474509,0.2690131992457574,0.371879330453989,0.8824688196182251,0.9210205078125,0.9013326200619781,0.9850537776947021
53,ATN238,form,0.08326220122988982,0.35693724812895794,0.22593659942363112,0.2832469775474957,0.376099525008941,0.8694320321083069,0.918514609336853,0.8932996151064412,0.9808126091957092
54,YÜI1752,form,0.08735309137251313,0.3637484586929717,0.22469135802469137,0.27373612823674476,0.352287320622764,0.876375138759613,0.9188714623451233,0.897120322990073,0.9846515655517578
56,Jer1205,form,0.0638411397963573,0.3131021194605009,0.17839922854387658,0.23892100192678226,0.3348057193514609,0.8751909732818604,0.9193907976150513,0.8967465735361297,0.9842490553855896
58,OAZ2611,form,0.1043679015773737,0.4955028618152085,0.30139230139230144,0.39574816026165166,0.41183468561123227,0.88020920753479,0.9207347631454468,0.9000160242762847,0.9809529781341553
60,PVV2109,form,0.08818891589520618,0.40489913544668593,0.23953823953823958,0.3112391930835735,0.3529897274818869,0.8805323839187622,0.9158543348312378,0.8978460955583505,0.9880360960960388
61,NIL1922,form,0.199602083844791,0.609704641350211,0.40380549682875266,0.5021097046413502,0.4387079553215446,0.9015648365020752,0.9231433868408203,0.9122265203588299,0.9891232848167419
66,NLL0820,form,0.14872858499777017,0.5361010830324909,0.35985533453887886,0.45306859205776173,0.4186002063955091,0.8903345465660095,0.9212213158607483,0.9055146237059337,0.9841578006744385
67,aea2442,form,0.2297049085491555,0.6408209806157354,0.4548571428571428,0.5655644241733182,0.4943708397244889,0.9105843901634216,0.9258771538734436,0.918167098313244,0.9892913699150085
69,IHB1316,form,0.06978317848965022,0.31943031536113936,0.19042769857433808,0.23906408952187183,0.3414606485884627,0.8639616370201111,0.9164572954177856,0.8894355488839895,0.9812150001525879
