metric,chapter,n,H,p,eps2,eps2_label,sig_05,degenerate
ROUGE-L,ch6,113,7.487081118241767,0.02367014903472717,0.06684893855573007,moderate,True,False
METEOR,ch1,113,4.430030777042075,0.10915183455023782,0.03955384622358995,small,False,False
METEOR,ch2,113,5.4852378310542536,0.06440146385083563,0.048975337777270124,small,False,False
METEOR,ch3,113,4.444694076330862,0.10835449800896244,0.03968476853866841,small,False,False
METEOR,ch4,113,9.434430230517652,0.008940040896462265,0.08423598420105047,moderate,True,False
METEOR,ch5,113,15.070812497344997,0.0005338443458470682,0.13456082586915177,moderate,True,False
METEOR,ch6,113,3.887342146079546,0.14317736923117283,0.03470841201856738,small,False,False
BERTScore_Precision,ch1,113,4.359218642302263,0.11308570220340061,0.03892159502055592,small,False,False
BERTScore_Precision,ch2,113,5.109745982939053,0.07770210027018615,0.04562273199052726,small,False,False
BERTScore_Precision,ch3,113,13.615990372806445,0.0011049058111726614,0.12157134261434326,moderate,True,False
BERTScore_Precision,ch4,113,12.211703805034976,0.0022297810046673808,0.10903306968781228,moderate,True,False
BERTScore_Precision,ch5,113,10.436548924736242,0.005416667731076327,0.09318347254228787,moderate,True,False
BERTScore_Precision,ch6,113,11.070576820622602,0.003945070672834507,0.09884443589841609,moderate,True,False
BERTScore_Recall,ch1,113,4.664998080291344,0.0970529046744084,0.04165176857402986,small,False,False
BERTScore_Recall,ch2,113,5.349519819053261,0.06892337425388236,0.04776356981297554,small,False,False
BERTScore_Recall,ch3,113,0.1983596581949763,0.9055798437741126,0.0017710683767408599,negligible,False,False
BERTScore_Recall,ch4,113,14.41924745020045,0.0007394353340799432,0.12874328080536115,moderate,True,False
BERTScore_Recall,ch5,113,10.22978101865743,0.006006635468969999,0.09133733052372706,moderate,True,False
BERTScore_Recall,ch6,113,4.369686398597676,0.11249537162457857,0.03901505713033639,small,False,False
BERTScore_F1,ch1,113,6.152215592461112,0.046138488017249575,0.05493049636125993,small,True,False
BERTScore_F1,ch2,113,0.4051348797917529,0.816631407203921,0.003617275712426365,negligible,False,False
BERTScore_F1,ch3,113,10.39413233667585,0.005532772856909863,0.09280475300603439,moderate,True,False
BERTScore_F1,ch4,113,3.0659843517313394,0.21588872288664213,0.02737486028331553,small,False,False
BERTScore_F1,ch5,113,10.731200873070035,0.00467465256553862,0.09581429350955388,moderate,True,False
BERTScore_F1,ch6,113,8.412247788643079,0.014904026102311832,0.07510935525574178,moderate,True,False
SBERT_ModernBERT,ch1,113,4.477822028157017,0.1065744993387207,0.03998055382283051,small,False,False
SBERT_ModernBERT,ch2,113,6.192557081486629,0.04521716350117628,0.055290688227559184,small,True,False
SBERT_ModernBERT,ch3,113,9.211434517198468,0.009994530770057937,0.0822449510464149,moderate,True,False
SBERT_ModernBERT,ch4,113,0.9862772052399493,0.6107066176623228,0.008806046475356691,negligible,False,False
SBERT_ModernBERT,ch5,113,8.983487484134162,0.0112010949499964,0.0802097096797693,moderate,True,False
SBERT_ModernBERT,ch6,113,9.59528388329854,0.00824917617127248,0.08567217752945125,moderate,True,False
SBERT_MiniLM,ch1,113,8.009224930662649,0.01823135317124411,0.0715109368809165,moderate,True,False
SBERT_MiniLM,ch2,113,4.433248562800305,0.10897636213689711,0.03958257645357415,small,False,False
SBERT_MiniLM,ch3,113,11.998610240513255,0.002480475209923888,0.1071304485760112,moderate,True,False
SBERT_MiniLM,ch4,113,24.653874046964862,4.430770667408879e-06,0.22012387541932912,large,True,False
SBERT_MiniLM,ch5,113,9.28481194716464,0.00963448939257547,0.08290010667111285,moderate,True,False
SBERT_MiniLM,ch6,113,1.3137678308766643,0.5184643988730587,0.011730069918541645,small,False,False
